,no,lat,lng,cluster,order
319,320,3.070488,101.657498,1,0
320,321,3.170412,101.649556,11,0
321,322,3.168533,101.71008,0,0
322,323,3.070574,101.696883,8,0
323,324,3.143345,101.735319,3,0
324,325,3.16998,101.655299,2,0
325,326,3.159606,101.733452,3,0
326,327,3.076321,101.669054,12,0
327,328,3.160454,101.731562,3,0
328,329,3.141348,101.707819,13,0
329,330,3.087496,101.681113,12,0
330,331,3.140537,101.711333,13,0
331,332,3.150487,101.717816,9,0
332,333,3.149054,101.71136,9,0
333,334,3.054918,101.674904,5,0
334,335,3.07032,101.665642,1,0
335,336,3.152029,101.738007,3,0
336,337,3.07094,101.66898,1,0
337,338,3.137764,101.752314,7,0
338,339,3.167757,101.6507,11,0
339,340,3.116639,101.690171,10,0
340,341,3.10822,101.665804,4,0
341,342,3.063331,101.670035,1,0
342,343,3.158827,101.658699,11,0
343,344,3.167757,101.6507,11,0
344,345,3.128106,101.680327,10,0
345,346,3.148669,101.737736,3,0
346,347,3.154852,101.653131,11,0
347,348,3.10822,101.665804,4,0
348,349,3.052265,101.673254,5,0
349,350,3.110396,101.66912,14,0
350,351,3.143072,101.708871,13,0
351,352,3.136742,101.689507,10,0
352,353,3.148622,101.742732,3,0
353,354,3.122279,101.675241,10,0
354,355,3.152152,101.712924,9,0
355,356,3.131093,101.765283,7,0
356,357,3.130744,101.684002,10,0
357,358,3.113827,101.663025,4,0
358,359,3.151309,101.671659,15,0
359,360,3.137045,101.667295,15,0
360,361,3.065995,101.687046,8,0
361,362,3.06448,101.665882,1,0
362,363,3.129726,101.721456,13,0
363,364,3.054709,101.675338,5,0
364,365,3.16815,101.652654,11,0
365,366,3.16815,101.652654,11,0
366,367,3.051958,101.685723,5,0
367,368,3.103339,101.689317,6,0
368,369,3.156138,101.64741,11,0
369,370,3.145459,101.667414,15,0
370,371,3.163901,101.690729,0,0
371,372,3.097467,101.679169,6,0
372,373,3.097555,101.685312,6,0
373,374,3.148926,101.659717,15,0
374,375,3.113269,101.680346,14,0
375,376,3.097555,101.685312,6,0
376,377,3.066857,101.678691,5,0
377,378,3.114148,101.664304,4,0
378,379,3.10621,101.667215,4,0
379,380,3.105968,101.688336,6,0
380,381,3.104567,101.683669,14,0
381,382,3.058252,101.667842,1,0
382,383,3.137711,101.675862,15,0
383,384,3.173392,101.658649,2,0
384,385,3.165658,101.64879,11,0
385,386,3.151204,101.71713,9,0
386,387,3.152029,101.738007,3,0
387,388,3.16322,101.70329,0,0
388,389,3.163314,101.655578,11,0
389,390,3.129303,101.747355,7,0
390,391,3.068022,101.682931,8,0
391,392,3.155803,101.651271,11,0
392,393,3.169135,101.655629,2,0
393,394,3.169135,101.655629,2,0
394,395,3.14537,101.668919,15,0
395,396,3.082339,101.674759,12,0
396,397,3.080104,101.666065,12,0
397,398,3.168135,101.642516,11,0
398,399,3.140724,101.740587,7,0
399,400,3.08483,101.673343,12,0
400,401,3.168563,101.644292,11,0
401,402,3.113464,101.664441,4,0
402,403,3.169541,101.647145,11,0
403,404,3.160264,101.735356,3,0
404,405,3.100186,101.676689,14,0
405,406,3.135268,101.714648,13,0
406,407,3.1339,101.7491,7,0
407,408,3.126958,101.724616,13,0
408,409,3.135447,101.691983,10,0
409,410,3.167208,101.652198,11,0
410,411,3.172147,101.659048,2,0
411,412,3.171859,101.702715,0,0
412,413,3.169135,101.655629,2,0
413,414,3.07094,101.66898,1,0
414,415,3.16391,101.65667,2,0
415,416,3.165576,101.704053,0,0
416,417,3.110972,101.666171,4,0
417,418,3.169135,101.655629,2,0
418,419,3.173597,101.653073,2,0
419,420,3.169135,101.655629,2,0
420,421,3.169135,101.655629,2,0
421,422,3.161249,101.697644,0,0
422,423,3.123991,101.713241,13,0
423,424,3.105468,101.663778,4,0
424,425,3.164672,101.659074,2,0
425,426,3.168533,101.71008,0,0
426,427,3.106034,101.662776,4,0
427,428,3.068054,101.694821,8,0
428,429,3.103632,101.665248,4,0
429,430,3.141141,101.737405,3,0
430,431,3.142851,101.664239,15,0
431,432,3.164042,101.689241,15,0
432,433,3.107491,101.662269,4,0
433,434,3.162041,101.649089,11,0
434,435,3.134188,101.675044,15,0
435,436,3.067274,101.693249,8,0
436,437,3.084864,101.673843,12,0
437,438,3.063748,101.66953,1,0
438,439,3.144253,101.654361,15,0
439,440,3.170099,101.649457,11,0
440,441,3.168343,101.648353,11,0
441,442,3.105468,101.663778,4,0
442,443,3.154836,101.650006,11,0
443,444,3.160747,101.714674,9,0
444,445,3.131577,101.759082,7,0
445,446,3.068104,101.713621,8,0
446,447,3.108874,101.678099,14,0
447,448,3.157467,101.698817,0,0
448,449,3.110972,101.666171,4,0
449,450,3.124467,101.714256,13,0
450,451,3.168135,101.642516,11,0
451,452,3.156022,101.708522,9,0
452,453,3.121262,101.67622,10,0
